,Tweet_ID,Tweet_Text,Info,feature_a,feature_b,feature_c,created_at,location
0,389654490653396992,RT @mariexplorer: Good morning #cebu #sea #paradise #philippines #ocean http://t.co/lMOuXMRIZe,0,"10 words, the -1 word","RT,@mariexplorer,Good,morning,cebu,sea,paradise,philippines,ocean,http//tco/lMOuXMRIZe",", ",,
1,389896900444319744,Where is Liloan Central Field and how do we get there? What are the landmarks? Thank you. @CebuRetweets #cebu,0,"19 words, the -1 word","Where,is,Liloan,Central,Field,and,how,do,we,get,there,What,are,the,landmarks,Thank,you,@CebuRetweets,cebu",", ",Mon Oct 14 23:33:59 +0000 2013,"Cebu, Philippines"
2,389908166353231872,"Earthquake in Iloilo, Philippines! My head's aching.",1,"7 words, the 0 word","Earthquake,in,Iloilo,Philippines,My,head's,aching",", in",Tue Oct 15 00:18:45 +0000 2013,Philippines
3,389909609190006784,"RT @LastQuake: NEW: Felt #earthquake M7.0 - Bohol, Philippines - October 15, 2013, 00:12 UTC (7 min ago) http://t.co/Q2wT2fxoH0",1,"19 words, the 4 word","RT,@LastQuake,NEW,Felt,earthquake,M70,,Bohol,Philippines,,October,15,2013,0012,UTC,(7,min,ago),http//tco/Q2wT2fxoH0","Felt, M7.0",Tue Oct 15 00:24:29 +0000 2013,Santiago - Chile
4,389910137676107776,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…",1,"22 words, the 1 word","RT,@NewEarthquake,72,earthquake,2km,S,of,Nueva,Vida,Sur,Philippines,Oct,15,0812,at,epicenter,(10m,ago,25km,Tagbilaran,depth,http…","RT, 7.2",Tue Oct 15 00:26:35 +0000 2013,19º17'04¨N - 99º10'28¨W 
5,389910670361100288,"RT @gmanews: JUST IN: Magnitude 7.2 earthquake: 2km south of Carmen and Nueva Vida Sur, Philippines. | via @NewEarthquake @USGS",1,"20 words, the 6 word","RT,@gmanews,JUST,IN,Magnitude,72,earthquake,2km,south,of,Carmen,and,Nueva,Vida,Sur,Philippines,|,via,@NewEarthquake,@USGS","7.2, 2km",Tue Oct 15 00:28:42 +0000 2013,"Cagayan de Oro, Philippines"
6,389911173665001472,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…",1,"22 words, the 1 word","RT,@NewEarthquake,72,earthquake,2km,S,of,Nueva,Vida,Sur,Philippines,Oct,15,0812,at,epicenter,(10m,ago,25km,Tagbilaran,depth,http…","RT, 7.2",Tue Oct 15 00:30:42 +0000 2013,Philippines
7,389911358214393856,"RT @gmanews: JUST IN: Magnitude 7.2 earthquake: 2km south of Carmen and Nueva Vida Sur, Philippines. | via @NewEarthquake @USGS",1,"20 words, the 6 word","RT,@gmanews,JUST,IN,Magnitude,72,earthquake,2km,south,of,Carmen,and,Nueva,Vida,Sur,Philippines,|,via,@NewEarthquake,@USGS","7.2, 2km",Tue Oct 15 00:31:26 +0000 2013,"Las Piñas, Philippines"
8,389911794442964992,RT @BreakingNews: 7.2 earthquake recorded in the Philippines' Bohol province - @usgs http://t.co/sVOzYsZR5X,1,"13 words, the 3 word","RT,@BreakingNews,72,earthquake,recorded,in,the,Philippines',Bohol,province,,@usgs,http//tco/sVOzYsZR5X","7.2, recorded",Tue Oct 15 00:33:10 +0000 2013,"Quezon City, Philippines"
9,389911937040932864,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…",1,"22 words, the 1 word","RT,@NewEarthquake,72,earthquake,2km,S,of,Nueva,Vida,Sur,Philippines,Oct,15,0812,at,epicenter,(10m,ago,25km,Tagbilaran,depth,http…","RT, 7.2",Tue Oct 15 00:33:44 +0000 2013,"Machalí, Chile"
10,389911949644808193,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…",1,"22 words, the 1 word","RT,@NewEarthquake,72,earthquake,2km,S,of,Nueva,Vida,Sur,Philippines,Oct,15,0812,at,epicenter,(10m,ago,25km,Tagbilaran,depth,http…","RT, 7.2",,
11,389912536834793475,"RT @NWS_PTWC: NO widespread tsunami hazard for 7.2 magnitude earthquake in Mindanao,  Philippines #tsunami #PTWC http://t.co/lwjSP8Su1p",1,"17 words, the 9 word","RT,@NWS_PTWC,NO,widespread,tsunami,hazard,for,72,magnitude,earthquake,in,Mindanao,Philippines,tsunami,PTWC,http//tco/lwjSP8Su1p","magnitude, in",,
12,389912650068402177,"Southern Philippines hit by 7.4 magnitude earthquake, no threat of Pacific-wide tsunami.",1,"12 words, the 6 word","Southern,Philippines,hit,by,74,magnitude,earthquake,no,threat,of,Pacificwide,tsunami","magnitude, no",Tue Oct 15 00:36:34 +0000 2013,London & Singapore studios
13,389913535074926593,Bendícenos Señor por el terremoto terrible. #PrayforPhilippines #Philippines #Dumaguete #earthquake,1,"10 words, the 9 word","Bendícenos,Señor,por,el,terremoto,terrible,PrayforPhilippines,Philippines,Dumaguete,earthquake","#Dumaguete, ",Tue Oct 15 00:40:05 +0000 2013,"Dumaguete, Philippines"
14,389913589596704768,RT @LanceUlanoff: 7.2 Earthquake in Philippines just now http://t.co/MeXQZHjdNt via: @dorybenami,1,"11 words, the 3 word","RT,@LanceUlanoff,72,Earthquake,in,Philippines,just,now,http//tco/MeXQZHjdNt,via,@dorybenami","7.2, in",Tue Oct 15 00:40:18 +0000 2013,samarinda
15,389913644131045376,"RT @ABC7: #EARTHQUAKE Quake with prelim mag of 7.2 struck Philippines, 25 miles east-northeast of Tagbilaran, Bohoi; no tsunami warning yet",1,"21 words, the 2 word","RT,@ABC7,EARTHQUAKE,Quake,with,prelim,mag,of,72,struck,Philippines,25,miles,eastnortheast,of,Tagbilaran,Bohoi,no,tsunami,warning,yet","@ABC7:, Quake",Tue Oct 15 00:40:31 +0000 2013,"Austin, TX"
16,389913971287154688,RT @RT_com: #BREAKING: 7.2 quake hits southern #Philippines; no threat of Pacific-wide tsunami http://t.co/0J6Eg19Gws,1,"14 words, the -1 word","RT,@RT_com,BREAKING,72,quake,hits,southern,Philippines,no,threat,of,Pacificwide,tsunami,http//tco/0J6Eg19Gws",", ",Tue Oct 15 00:41:49 +0000 2013,"Newark, New Jersey "
17,389913979687944193,It's a good thing the kids are at home today. #earthquake #bacolod #philippines,1,"13 words, the 10 word","It's,a,good,thing,the,kids,are,at,home,today,earthquake,bacolod,philippines","today., #bacolod",Tue Oct 15 00:41:51 +0000 2013,Philippines
18,389914239730610176,"Magnitude 7.4 quake hits Philippines, no tsunami threat: SYDNEY (Reuters) - An earthquake with a preliminary m... http://t.co/UTzExxP76A",1,"18 words, the 12 word","Magnitude,74,quake,hits,Philippines,no,tsunami,threat,SYDNEY,(Reuters),,An,earthquake,with,a,preliminary,m,http//tco/UTzExxP76A","An, with",Tue Oct 15 00:42:53 +0000 2013,"Canada, Markham "
19,389915464446795776,"RT @NWS_PTWC: NO widespread tsunami hazard for 7.2 magnitude earthquake in Mindanao,  Philippines #tsunami #PTWC http://t.co/lwjSP8Su1p",1,"17 words, the 9 word","RT,@NWS_PTWC,NO,widespread,tsunami,hazard,for,72,magnitude,earthquake,in,Mindanao,Philippines,tsunami,PTWC,http//tco/lwjSP8Su1p","magnitude, in",Tue Oct 15 00:47:45 +0000 2013,Westeros
20,389917091823763456,"USGS M 7.2, 5km E of Balilihan, Philippines: Tuesday, October 15, 2013 00:12:37 UTCTuesday, Octobe... http://t.co/UxYqnxv1b7 #earthquake",1,"17 words, the 16 word","USGS,M,72,5km,E,of,Balilihan,Philippines,Tuesday,October,15,2013,001237,UTCTuesday,Octobe,http//tco/UxYqnxv1b7,earthquake","http://t.co/UxYqnxv1b7, ",Tue Oct 15 00:54:13 +0000 2013,"Houston, TX"
